ID,Date,Element,Data_Value
FRM00007015,2005-03-23,TMIN,60
FRM00007015,2014-01-13,TMAX,100
FRM00007015,2011-09-19,TMAX,195
FRM00007015,2007-05-22,TMAX,187
FRM00007015,2009-11-12,TMIN,33
FRM00007015,2012-10-11,TMAX,164
FRM00007015,2005-11-09,TMAX,121
FRM00007015,2006-03-04,TMIN,-24
FRM00007015,2005-03-08,TMAX,63
FRM00007015,2008-02-05,TMIN,43
FRM00007015,2007-04-14,TMAX,260
FRM00007015,2015-05-13,TMAX,195
FRM00007015,2011-05-12,TMAX,178
FRM00007015,2005-08-14,TMAX,191
FRM00007015,2011-05-12,TMIN,89
FRM00007015,2006-12-19,TMAX,46
FRM00007015,2011-09-19,TMIN,85
FRM00007015,2010-09-23,TMAX,207
FRM00007015,2015-05-13,TMIN,56
FRM00007015,2007-07-23,TMIN,129
FRM00007015,2010-09-23,TMIN,124
FRM00007015,2007-07-23,TMAX,209
FRM00007015,2013-04-20,TMAX,126
FRM00007015,2011-08-15,TMIN,105
FRM00007015,2009-07-15,TMAX,244
FRM00007015,2009-11-12,TMAX,133
FRM00007015,2011-11-17,TMIN,24
FRM00007015,2008-09-12,TMAX,187
FRM00007015,2011-06-17,TMAX,176
FRM00007015,2012-10-11,TMIN,49
FRM00007015,2005-05-23,TMAX,164
FRM00007015,2010-04-06,TMIN,35
FRM00007015,2008-02-05,TMAX,123
FRM00007015,2011-03-29,TMAX,176
FRM00007015,2014-01-13,TMIN,33
FRM00007015,2008-09-28,TMIN,57
FRM00007015,2006-05-31,TMIN,57
FRM00007015,2010-12-17,TMAX,16
FRM00007015,2006-01-01,TMAX,44
FRM00007015,2007-05-03,TMAX,207
FRM00007015,2008-12-23,TMAX,99
FRM00007015,2008-12-19,TMIN,45
FRM00007015,2014-11-24,TMAX,123
FRM00007015,2007-04-18,TMAX,157
FRM00007015,2014-01-26,TMIN,8
FRM00007015,2007-04-18,TMIN,48
FRM00007015,2007-06-18,TMAX,228
FRM00007015,2009-09-25,TMAX,204
FRM00007015,2007-05-03,TMIN,100
FRM00007015,2015-12-10,TMAX,66
FRM00007015,2008-12-23,TMIN,44
FRM00007015,2009-11-15,TMAX,141
FRM00007015,2007-09-06,TMAX,204
FRM00007015,2010-08-03,TMIN,113
FRM00007015,2011-03-29,TMIN,15
FRM00007015,2007-12-21,TMAX,12
FRM00007015,2014-08-30,TMAX,185
FRM00007015,2014-07-30,TMAX,224
FRM00007015,2014-01-06,TMAX,147
FRM00007015,2013-07-25,TMAX,285
FRM00007015,2009-02-09,TMIN,10
FRM00007015,2011-12-08,TMIN,6
FRM00007015,2007-12-21,TMIN,-60
FRM00007015,2014-01-06,TMIN,69
FRM00007015,2014-04-06,TMAX,182
FRM00007015,2013-02-18,TMIN,-12
FRM00007015,2006-05-31,TMAX,121
FRM00007015,2005-05-23,TMIN,83
FRM00007015,2013-08-28,TMAX,225
FRM00007015,2010-04-06,TMAX,171
FRM00007015,2005-03-15,TMAX,125
FRM00007015,2006-01-03,TMIN,-14
FRM00007015,2006-03-04,TMAX,40
FRM00007015,2013-01-01,TMAX,101
FRM00007015,2012-09-26,TMIN,96
FRM00007015,2008-09-19,TMAX,173
FRM00007015,2006-03-11,TMAX,63
FRM00007015,2013-09-20,TMAX,172
FRM00007015,2015-12-05,TMIN,49
FRM00007015,2012-09-15,TMIN,85
FRM00007015,2005-08-08,TMAX,172
FRM00007015,2013-05-20,TMIN,84
FRM00007015,2005-03-17,TMAX,189
FRM00007015,2013-05-20,TMAX,135
FRM00007015,2006-01-13,TMAX,37
FRM00007015,2008-08-24,TMIN,104
FRM00007015,2006-01-03,TMAX,42
FRM00007015,2005-03-30,TMAX,148
FRM00007015,2012-09-26,TMAX,170
FRM00007015,2006-01-30,TMIN,-13
FRM00007015,2005-08-29,TMIN,119
FRM00007015,2006-11-06,TMAX,120
FRM00007015,2014-11-05,TMAX,88
FRM00007015,2014-11-05,TMIN,39
FRM00007015,2009-07-31,TMAX,225
FRM00007015,2007-01-21,TMAX,97
FRM00007015,2006-11-25,TMAX,174
FRM00007015,2007-11-23,TMAX,90
FRM00007015,2013-06-04,TMAX,187
FRM00007015,2008-05-15,TMAX,210
FRM00007015,2007-06-12,TMAX,203
FRM00007015,2010-03-20,TMAX,175
FRM00007015,2006-07-19,TMIN,197
FRM00007015,2006-07-19,TMAX,360
FRM00007015,2005-08-02,TMAX,229
FRM00007015,2007-07-28,TMIN,151
FRM00007015,2005-08-02,TMIN,129
FRM00007015,2010-08-03,TMAX,241
FRM00007015,2005-06-08,TMIN,67
FRM00007015,2014-06-11,TMIN,134
FRM00007015,2005-05-29,TMAX,180
FRM00007015,2005-06-08,TMAX,183
FRM00007015,2009-07-23,TMAX,221
FRM00007015,2006-11-06,TMIN,35
FRM00007015,2009-08-06,TMIN,138
FRM00007015,2010-03-11,TMAX,54
FRM00007015,2010-09-10,TMIN,125
FRM00007015,2006-01-01,TMIN,18
FRM00007015,2005-03-15,TMIN,18
FRM00007015,2007-07-28,TMAX,224
FRM00007015,2009-07-15,TMIN,139
FRM00007015,2012-01-20,TMAX,84
FRM00007015,2010-09-10,TMAX,200
FRM00007015,2009-08-06,TMAX,306
FRM00007015,2013-11-25,TMAX,81
FRM00007015,2005-09-03,TMAX,256
FRM00007015,2005-08-08,TMIN,105
FRM00007015,2007-04-04,TMIN,35
FRM00007015,2006-08-21,TMAX,200
FRM00007015,2009-07-23,TMIN,140
FRM00007015,2009-12-09,TMIN,59
FRM00007015,2015-11-20,TMAX,107
FRM00007015,2008-05-04,TMAX,222
FRM00007015,2007-03-12,TMAX,160
FRM00007015,2007-09-14,TMAX,221
FRM00007015,2011-09-17,TMAX,204
FRM00007015,2005-09-03,TMIN,135
FRM00007015,2009-01-26,TMIN,26
FRM00007015,2007-09-14,TMIN,86
FRM00007015,2013-02-26,TMIN,13
FRM00007015,2012-01-20,TMIN,47
FRM00007015,2010-02-22,TMAX,105
FRM00007015,2010-12-05,TMAX,30
FRM00007015,2012-10-10,TMIN,65
FRM00007015,2011-03-18,TMIN,26
FRM00007015,2006-04-08,TMAX,111
FRM00007015,2012-11-04,TMIN,27
FRM00007015,2007-11-12,TMAX,90
FRM00007015,2009-02-20,TMAX,85
FRM00007015,2008-07-07,TMIN,139
FRM00007015,2012-05-03,TMIN,89
FRM00007015,2014-03-13,TMAX,176
FRM00007015,2009-04-14,TMAX,200
FRM00007015,2011-03-08,TMAX,130
FRM00007015,2013-08-29,TMAX,245
FRM00007015,2012-12-18,TMIN,33
FRM00007015,2009-10-11,TMAX,163
FRM00007015,2009-10-11,TMIN,114
FRM00007015,2012-09-27,TMAX,172
FRM00007015,2008-07-07,TMAX,196
FRM00007015,2012-01-10,TMIN,70
FRM00007015,2013-07-24,TMAX,276
FRM00007015,2013-07-24,TMIN,160
FRM00007015,2012-01-10,TMAX,112
FRM00007015,2007-07-08,TMAX,220
FRM00007015,2010-08-28,TMAX,187
FRM00007015,2012-01-03,TMIN,44
FRM00007015,2014-08-20,TMIN,75
FRM00007015,2014-08-20,TMAX,189
FRM00007015,2006-01-07,TMIN,0
FRM00007015,2010-02-02,TMIN,-15
FRM00007015,2012-11-25,TMAX,135
FRM00007015,2013-04-24,TMIN,57
FRM00007015,2012-05-31,TMIN,139
FRM00007015,2010-01-14,TMAX,63
FRM00007015,2012-04-24,TMAX,127
FRM00007015,2007-11-14,TMAX,77
FRM00007015,2007-12-09,TMAX,100
FRM00007015,2007-12-09,TMIN,51
FRM00007015,2015-06-10,TMAX,223
FRM00007015,2009-11-19,TMIN,75
FRM00007015,2010-01-20,TMAX,43
FRM00007015,2011-07-20,TMAX,192
FRM00007015,2008-04-13,TMIN,54
FRM00007015,2005-09-14,TMIN,137
FRM00007015,2005-09-14,TMAX,201
FRM00007015,2012-05-18,TMIN,98
FRM00007015,2012-05-18,TMAX,166
FRM00007015,2014-05-05,TMIN,46
FRM00007015,2006-01-26,TMAX,37
FRM00007015,2010-03-10,TMAX,72
FRM00007015,2010-03-10,TMIN,-20
FRM00007015,2009-02-20,TMIN,35
FRM00007015,2013-04-18,TMAX,205
FRM00007015,2012-07-16,TMAX,173
FRM00007015,2007-07-08,TMIN,89
FRM00007015,2009-04-15,TMAX,233
FRM00007015,2015-03-19,TMIN,56
FRM00007015,2015-03-08,TMAX,165
FRM00007015,2014-05-10,TMIN,96
FRM00007015,2010-04-22,TMIN,13
FRM00007015,2006-04-19,TMAX,154
FRM00007015,2015-02-07,TMIN,-21
FRM00007015,2014-10-28,TMIN,85
FRM00007015,2011-12-15,TMIN,39
FRM00007015,2015-02-07,TMAX,55
FRM00007015,2014-10-28,TMAX,130
FRM00007015,2006-04-19,TMIN,50
FRM00007015,2015-03-08,TMIN,30
FRM00007015,2012-12-20,TMIN,44
FRM00007015,2008-05-19,TMIN,74
FRM00007015,2013-01-17,TMAX,-32
FRM00007015,2013-01-17,TMIN,-134
FRM00007015,2008-04-02,TMAX,132
FRM00007015,2008-05-19,TMAX,149
FRM00007015,2008-10-11,TMIN,84
FRM00007015,2008-04-02,TMIN,66
FRM00007015,2010-08-28,TMIN,96
FRM00007015,2015-01-08,TMIN,26
FRM00007015,2011-08-10,TMIN,90
FRM00007015,2008-07-23,TMAX,233
FRM00007015,2012-07-16,TMIN,114
FRM00007015,2015-03-27,TMAX,115
FRM00007015,2015-03-27,TMIN,16
FRM00007015,2009-11-19,TMAX,134
FRM00007015,2015-11-14,TMIN,64
FRM00007015,2009-04-14,TMIN,99
FRM00007015,2011-04-28,TMAX,144
FRM00007015,2007-09-24,TMAX,192
FRM00007015,2013-05-06,TMIN,59
FRM00007015,2015-06-09,TMAX,173
FRM00007015,2008-07-23,TMIN,157
FRM00007015,2010-02-12,TMIN,-64
FRM00007015,2010-02-12,TMAX,14
FRM00007015,2008-05-28,TMAX,221
FRM00007015,2005-09-26,TMIN,106
FRM00007015,2015-08-30,TMAX,301
FRM00007015,2015-05-14,TMAX,159
FRM00007015,2005-09-26,TMAX,185
FRM00007015,2015-06-09,TMIN,89
FRM00007015,2010-04-22,TMAX,123
FRM00007015,2012-07-08,TMAX,184
FRM00007015,2012-07-08,TMIN,139
FRM00007015,2013-09-18,TMAX,161
FRM00007015,2013-05-18,TMAX,154
FRM00007015,2012-04-29,TMAX,184
FRM00007015,2006-02-01,TMIN,-45
FRM00007015,2013-12-31,TMIN,58
FRM00007015,2015-07-23,TMAX,233
FRM00007015,2015-07-23,TMIN,123
FRM00007015,2009-08-31,TMIN,119
FRM00007015,2005-09-08,TMIN,140
FRM00007015,2006-04-27,TMAX,161
FRM00007015,2014-04-22,TMAX,184
FRM00007015,2006-11-23,TMIN,74
FRM00007015,2012-08-26,TMAX,216
FRM00007015,2007-05-24,TMAX,246
FRM00007015,2013-03-21,TMAX,67
FRM00007015,2007-05-24,TMIN,119
FRM00007015,2015-07-06,TMAX,267
FRM00007015,2011-08-17,TMIN,126
FRM00007015,2006-02-01,TMAX,6
FRM00007015,2009-04-27,TMAX,154
FRM00007015,2007-06-09,TMAX,193
FRM00007015,2007-06-09,TMIN,145
FRM00007015,2008-10-18,TMAX,150
FRM00007015,2008-08-09,TMIN,128
FRM00007015,2005-09-29,TMAX,156
FRM00007015,2010-10-01,TMIN,80
FRM00007015,2007-09-19,TMAX,150
FRM00007015,2011-12-07,TMIN,38
FRM00007015,2011-12-07,TMAX,101
FRM00007015,2009-12-21,TMIN,-77
FRM00007015,2009-12-21,TMAX,11
FRM00007015,2005-12-10,TMAX,63
FRM00007015,2009-07-07,TMIN,130
FRM00007015,2006-05-09,TMIN,90
FRM00007015,2014-09-20,TMAX,249
FRM00007015,2014-06-08,TMIN,156
FRM00007015,2009-07-07,TMAX,203
FRM00007015,2005-12-10,TMIN,-17
FRM00007015,2014-06-08,TMAX,265
FRM00007015,2008-09-14,TMIN,78
FRM00007015,2006-04-27,TMIN,73
FRM00007015,2010-12-02,TMAX,-38
FRM00007015,2006-12-13,TMIN,72
FRM00007015,2006-12-13,TMAX,111
FRM00007015,2009-04-19,TMIN,89
FRM00007015,2009-08-31,TMAX,280
FRM00007015,2014-02-14,TMIN,20
FRM00007015,2015-04-30,TMAX,151
FRM00007015,2012-07-05,TMAX,240
FRM00007015,2006-06-29,TMAX,235
FRM00007015,2013-06-20,TMAX,250
FRM00007015,2009-12-02,TMIN,34
FRM00007015,2013-12-17,TMIN,57
FRM00007015,2013-12-17,TMAX,100
FRM00007015,2010-12-12,TMAX,81
FRM00007015,2009-08-27,TMAX,254
FRM00007015,2012-04-19,TMAX,130
FRM00007015,2012-03-09,TMIN,23
FRM00007015,2007-03-31,TMAX,154
FRM00007015,2007-03-31,TMIN,62
FRM00007015,2007-07-29,TMAX,197
FRM00007015,2015-04-28,TMIN,16
FRM00007015,2010-04-07,TMIN,56
FRM00007015,2010-04-07,TMAX,181
FRM00007015,2012-02-20,TMAX,64
FRM00007015,2008-03-12,TMIN,61
FRM00007015,2015-04-28,TMAX,131
FRM00007015,2015-10-16,TMAX,85
FRM00007015,2007-08-11,TMAX,233
FRM00007015,2013-11-14,TMAX,97
FRM00007015,2013-11-14,TMIN,20
FRM00007015,2006-05-03,TMAX,238
FRM00007015,2006-05-03,TMIN,102
FRM00007015,2013-04-24,TMAX,205
FRM00007015,2015-10-16,TMIN,56
FRM00007015,2015-12-15,TMIN,49
FRM00007015,2012-05-31,TMAX,231
FRM00007015,2015-05-23,TMAX,181
FRM00007015,2007-01-18,TMAX,152
FRM00007015,2007-10-25,TMAX,93
FRM00007015,2009-09-27,TMAX,218
FRM00007015,2008-10-18,TMIN,35
FRM00007015,2008-08-09,TMAX,225
FRM00007015,2013-01-02,TMIN,26
FRM00007015,2006-02-13,TMIN,8
FRM00007015,2013-01-02,TMAX,80
FRM00007015,2014-07-05,TMIN,169
FRM00007015,2014-07-05,TMAX,229
FRM00007015,2012-04-19,TMIN,58
FRM00007015,2009-02-12,TMAX,51
FRM00007015,2015-09-27,TMAX,181
FRM00007015,2007-10-25,TMIN,68
FRM00007015,2014-03-11,TMIN,74
FRM00007015,2008-05-08,TMIN,124
FRM00007015,2008-05-08,TMAX,261
FRM00007015,2012-08-10,TMAX,232
FRM00007015,2007-02-08,TMAX,75
FRM00007015,2010-10-01,TMAX,171
FRM00007015,2010-12-29,TMIN,6
FRM00007015,2006-03-03,TMAX,35
FRM00007015,2009-09-27,TMIN,73
FRM00007015,2008-03-12,TMAX,124
FRM00007015,2007-10-18,TMAX,142
FRM00007015,2009-02-12,TMIN,-3
FRM00007015,2012-08-27,TMAX,255
FRM00007015,2007-02-13,TMAX,102
FRM00007015,2011-05-30,TMAX,284
FRM00007015,2011-05-02,TMIN,90
FRM00007015,2011-05-02,TMAX,187
FRM00007015,2011-11-27,TMAX,135
FRM00007015,2015-07-27,TMIN,139
FRM00007015,2012-07-03,TMAX,230
FRM00007015,2012-05-13,TMIN,39
FRM00007015,2008-03-01,TMIN,78
FRM00007015,2008-03-01,TMAX,124
FRM00007015,2013-07-09,TMAX,263
FRM00007015,2015-03-06,TMAX,115
FRM00007015,2015-05-11,TMIN,116
FRM00007015,2009-12-20,TMIN,-52
FRM00007015,2009-12-20,TMAX,7
FRM00007015,2015-05-11,TMAX,252
FRM00007015,2012-11-24,TMIN,77
FRM00007015,2007-12-22,TMAX,41
FRM00007015,2012-04-03,TMIN,29
FRM00007015,2011-05-16,TMIN,87
FRM00007015,2007-09-05,TMIN,64
FRM00007015,2007-09-05,TMAX,190
FRM00007015,2008-06-15,TMAX,173
FRM00007015,2013-09-19,TMIN,67
FRM00007015,2013-09-19,TMAX,175
FRM00007015,2008-10-05,TMIN,106
FRM00007015,2006-09-15,TMAX,274
FRM00007015,2012-07-03,TMIN,135
FRM00007015,2015-07-29,TMAX,205
FRM00007015,2007-07-21,TMAX,226
FRM00007015,2007-11-27,TMIN,7
FRM00007015,2007-07-21,TMIN,111
FRM00007015,2014-06-22,TMAX,232
FRM00007015,2014-06-22,TMIN,125
FRM00007015,2013-10-15,TMAX,143
FRM00007015,2014-12-16,TMIN,20
FRM00007015,2014-12-16,TMAX,81
FRM00007015,2008-06-15,TMIN,66
FRM00007015,2008-03-30,TMAX,118
FRM00007015,2012-10-10,TMAX,142
FRM00007015,2006-10-18,TMAX,194
FRM00007015,2009-05-07,TMIN,100
FRM00007015,2014-01-17,TMIN,68
FRM00007015,2011-04-04,TMAX,141
FRM00007015,2007-07-24,TMIN,137
FRM00007015,2006-05-17,TMIN,100
FRM00007015,2007-12-22,TMIN,-51
FRM00007015,2006-11-24,TMIN,80
FRM00007015,2011-02-11,TMAX,150
FRM00007015,2007-07-24,TMAX,221
FRM00007015,2006-05-01,TMIN,52
FRM00007015,2012-09-08,TMIN,87
FRM00007015,2008-03-18,TMAX,71
FRM00007015,2008-04-09,TMIN,19
FRM00007015,2007-05-12,TMAX,180
FRM00007015,2013-11-22,TMIN,10
FRM00007015,2008-10-19,TMIN,70
FRM00007015,2008-07-25,TMAX,283
FRM00007015,2007-11-25,TMAX,90
FRM00007015,2005-09-05,TMIN,157
FRM00007015,2008-04-09,TMAX,110
FRM00007015,2015-04-18,TMAX,151
FRM00007015,2015-09-24,TMAX,171
FRM00007015,2005-12-26,TMAX,57
FRM00007015,2009-03-15,TMAX,131
FRM00007015,2006-04-07,TMIN,14
FRM00007015,2006-04-07,TMAX,117
FRM00007015,2012-12-06,TMAX,37
FRM00007015,2006-06-02,TMAX,164
FRM00007015,2012-12-06,TMIN,-11
FRM00007015,2005-09-05,TMAX,250
FRM00007015,2006-06-02,TMIN,40
FRM00007015,2011-07-15,TMIN,104
FRM00007015,2008-03-06,TMIN,19
FRM00007015,2013-04-22,TMAX,146
FRM00007015,2006-03-24,TMIN,58
FRM00007015,2006-03-24,TMAX,156
FRM00007015,2005-11-25,TMAX,60
FRM00007015,2012-09-08,TMAX,267
FRM00007015,2008-03-18,TMIN,25
FRM00007015,2010-05-27,TMIN,95
FRM00007015,2007-01-08,TMIN,85
FRM00007015,2011-12-21,TMIN,35
FRM00007015,2011-10-22,TMIN,3
FRM00007015,2010-08-01,TMIN,143
FRM00007015,2015-05-20,TMIN,58
FRM00007015,2012-04-22,TMAX,124
FRM00007015,2011-11-03,TMIN,127
FRM00007015,2011-04-25,TMAX,238
FRM00007015,2014-07-04,TMIN,145
FRM00007015,2006-12-22,TMAX,73
FRM00007015,2010-08-01,TMAX,225
FRM00007015,2009-08-16,TMAX,264
FRM00007015,2015-02-13,TMIN,0
FRM00007015,2015-02-13,TMAX,106
FRM00007015,2007-05-12,TMIN,107
FRM00007015,2015-07-27,TMAX,205
FRM00007015,2011-04-19,TMAX,247
FRM00007015,2011-04-19,TMIN,97
FRM00007015,2013-04-22,TMIN,17
FRM00007015,2014-07-04,TMAX,263
FRM00007015,2007-04-24,TMAX,247
FRM00007015,2015-01-17,TMIN,-26
FRM00007015,2006-05-01,TMAX,120
FRM00007015,2012-06-27,TMIN,163
FRM00007015,2014-09-28,TMAX,233
FRM00007015,2009-10-02,TMIN,68
FRM00007015,2009-10-02,TMAX,164
FRM00007015,2008-10-28,TMAX,105
FRM00007015,2011-08-25,TMAX,233
FRM00007015,2015-04-10,TMAX,221
FRM00007015,2006-05-02,TMAX,197
FRM00007015,2008-11-06,TMAX,100
FRM00007015,2011-08-25,TMIN,115
FRM00007015,2009-05-07,TMAX,191
FRM00007015,2014-03-02,TMIN,-6
FRM00007015,2011-10-17,TMIN,57
FRM00007015,2008-11-19,TMIN,44
FRM00007015,2014-03-02,TMAX,100
FRM00007015,2014-11-18,TMIN,67
FRM00007015,2011-05-28,TMAX,182
FRM00007015,2008-11-19,TMAX,112
FRM00007015,2009-08-20,TMAX,321
FRM00007015,2005-03-26,TMAX,171
FRM00007015,2005-03-26,TMIN,40
FRM00007015,2007-08-08,TMIN,143
FRM00007015,2005-03-31,TMIN,77
FRM00007015,2014-06-16,TMAX,174
FRM00007015,2012-06-27,TMAX,236
FRM00007015,2009-04-15,TMIN,109
FRM00007015,2008-06-30,TMIN,114
FRM00007015,2006-08-22,TMIN,118
FRM00007015,2008-06-30,TMAX,223
FRM00007015,2006-08-22,TMAX,208
FRM00007015,2013-11-08,TMIN,64
FRM00007015,2009-03-21,TMIN,-15
FRM00007015,2007-12-08,TMIN,23
FRM00007015,2012-03-21,TMIN,16
FRM00007015,2012-03-21,TMAX,162
FRM00007015,2007-03-08,TMAX,143
FRM00007015,2013-04-27,TMAX,115
FRM00007015,2014-06-16,TMIN,100
FRM00007015,2013-11-08,TMAX,121
FRM00007015,2015-06-03,TMAX,187
FRM00007015,2006-10-05,TMIN,80
FRM00007015,2005-03-31,TMAX,173
FRM00007015,2011-05-30,TMIN,98
FRM00007015,2008-10-21,TMAX,155
FRM00007015,2009-02-16,TMIN,35
FRM00007015,2011-02-21,TMAX,53
FRM00007015,2013-03-20,TMAX,58
FRM00007015,2005-02-13,TMAX,94
FRM00007015,2006-07-18,TMAX,332
FRM00007015,2009-09-17,TMIN,120
FRM00007015,2011-03-07,TMAX,82
FRM00007015,2010-05-21,TMIN,89
FRM00007015,2007-06-27,TMAX,168
FRM00007015,2007-03-08,TMIN,24
FRM00007015,2005-10-21,TMAX,180
FRM00007015,2015-03-13,TMAX,123
FRM00007015,2005-10-21,TMIN,87
FRM00007015,2015-10-22,TMAX,165
FRM00007015,2007-03-10,TMAX,127
FRM00007015,2007-09-22,TMAX,223
FRM00007015,2007-09-22,TMIN,86
FRM00007015,2015-10-26,TMIN,69
FRM00007015,2015-10-22,TMIN,100
FRM00007015,2009-11-21,TMIN,105
FRM00007015,2010-11-04,TMAX,164
FRM00007015,2008-11-02,TMIN,84
FRM00007015,2007-04-24,TMIN,103
FRM00007015,2011-09-28,TMAX,261
FRM00007015,2011-09-28,TMIN,129
FRM00007015,2014-12-29,TMIN,-45
FRM00007015,2010-08-27,TMAX,203
FRM00007015,2015-04-18,TMIN,44
FRM00007015,2005-12-14,TMIN,26
FRM00007015,2009-02-02,TMIN,-21
FRM00007015,2007-01-18,TMIN,84
FRM00007015,2009-03-12,TMIN,56
FRM00007015,2011-03-31,TMIN,100
FRM00007015,2009-09-17,TMAX,197
FRM00007015,2007-08-08,TMAX,194
FRM00007015,2009-03-10,TMIN,54
FRM00007015,2009-03-10,TMAX,114
FRM00007015,2006-06-28,TMIN,106
FRM00007015,2011-05-28,TMIN,64
FRM00007015,2010-04-20,TMIN,45
FRM00007015,2011-05-09,TMIN,110
FRM00007015,2010-06-18,TMAX,202
FRM00007015,2012-08-09,TMIN,156
FRM00007015,2008-10-26,TMAX,144
FRM00007015,2012-08-09,TMAX,236
FRM00007015,2011-05-09,TMAX,240
FRM00007015,2010-04-20,TMAX,146
FRM00007015,2007-02-06,TMAX,51
FRM00007015,2010-05-11,TMAX,103
FRM00007015,2009-11-21,TMAX,170
FRM00007015,2010-08-13,TMIN,114
FRM00007015,2007-04-30,TMAX,227
FRM00007015,2011-08-04,TMAX,261
FRM00007015,2010-08-13,TMAX,209
FRM00007015,2008-10-26,TMIN,94
FRM00007015,2010-06-18,TMIN,117
FRM00007015,2005-03-25,TMIN,58
FRM00007015,2015-10-17,TMIN,73
FRM00007015,2013-08-15,TMAX,243
FRM00007015,2011-03-25,TMIN,38
FRM00007015,2009-11-14,TMIN,109
FRM00007015,2009-11-14,TMAX,150
FRM00007015,2012-03-11,TMAX,150
FRM00007015,2010-01-28,TMAX,50
FRM00007015,2009-06-19,TMAX,202
FRM00007015,2009-06-19,TMIN,128
FRM00007015,2011-04-27,TMIN,87
FRM00007015,2009-03-26,TMIN,46
FRM00007015,2011-04-27,TMAX,166
FRM00007015,2011-04-22,TMAX,257
FRM00007015,2015-12-22,TMAX,141
FRM00007015,2015-12-22,TMIN,106
FRM00007015,2011-06-25,TMAX,190
FRM00007015,2010-06-28,TMAX,295
FRM00007015,2014-07-20,TMAX,277
FRM00007015,2007-02-10,TMIN,42
FRM00007015,2013-07-05,TMIN,140
FRM00007015,2011-08-11,TMAX,242
FRM00007015,2007-02-10,TMAX,113
FRM00007015,2008-02-29,TMIN,66
FRM00007015,2008-02-28,TMIN,21
